,Parameter,Nominal,,,,,,Temp_and_Process_0,Temp_and_Process_1,Temp_and_Process_2,Temp_and_Process_3
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,I_ind_tstab_A,,,,,,,,,,
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,Core_tran_A,eval err,,,,,,eval err,eval err,eval err,eval err
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,output_minus,,,,,,,,,,
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,output_plus,,,,,,,,,,
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,drain_current_M1,,,,,,,,,,
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,drain_current_M0,,,,,,,,,,
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,Vgbias_V,,,,,,,,,,
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,Bandgap_pmos_Output_V,,,,,,,,,,
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,Bandgap_nmos_Output_V,,,,,,,,,,
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,signal IVDD,,,,,,,,,,
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,Vdd_ccurent_intoL_A,,,,,,,,,,
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,/DUT/M2/D,,,,,,,,,,
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,/DUT/M3/D,,,,,,,,,,
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,/DUT/Vad,,,,,,,,,,
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,/DUT/Vbpcac,,,,,,,,,,
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,/DUT/Vad_lpf,,,,,,,,,,
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,/Vref2,,,,,,,,,,
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,/Vref1,,,,,,,,,,
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,/DUT/top,,,,,,,,,,
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,Loop Gain dB20,,,,,,,,,,
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,Loop Gain Phase,,,,,,,,,,
testLib_aleksandarv_TB_SCaldio_hbVCO_Test_1,Phase Margin,70.89,,,,66.96,70.89,67.02,68.5,66.96,69.44

